artist,song
Luke Bryan,I See You
Ed Sheeran,The Joker And The Queen
Rob $tone,Chill Bill REMIX
Miley Cyrus,Rose Colored Lenses
Lana Del Rey,Summer Bummer
Yo Gotti,Castro
Lil Yachty,she ready
H.E.R.,Come Through
Walker Hayes,You Broke Up with Me
$NOT,Doja
JAY-Z,Run This Town
Money Man,24
G-Eazy,Moana
Lil Baby,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV)
Justin Bieber,Love You Different
Lil Uzi Vert,Leaders
Bad Bunny,EstÃ¡ CabrÃ³n Ser Yo
A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2)
BeyoncÃ©,HEATED
Mike Posner,Please Don't Go
BeyoncÃ©,THIQUE
The Weeknd,Donât Break My Heart
Alan Walker,All Falls Down
Frank Ocean,Nikes
Rihanna,Stay
Travis Scott,The Plan
One Direction,If I Could Fly
Kelsea Ballerini,Love Me Like You Mean It
Megan Thee Stallion,Plan B
Sam Smith,Burning
Paramore,Hard Times
NLE Choppa,Shotta Flow 3
21 Savage,break da law
Bryson Tiller,Let Em' Know
Keith Urban,Somewhere In My Car
Yeat,Rich Minion
Gwen Stefani,Used To Love You
The Kid LAROI,"F*CK YOU, GOODBYE"
Calvin Harris,Sweet Nothing
Eminem,Believe
Lorde,Perfect Places
Sam Smith,My Oasis
Chance the Rapper,Mixtape
Charlie Puth,I Warned Myself
Bruno Mars,Fly As Me
Armin van Buuren,Another You
Gucci Mane,Solitaire
2 Chainz,PROUD
Leslie Odom Jr.,Alexander Hamilton
Sia,Genius
Future,Trillionaire
A Boogie Wit da Hoodie,Might Not Give Up
Kendrick Lamar,Mother I Sober
Drake,Intro
BTS,HOME
BANKS,Beggin For Thread
One Direction,A.M.
Pop Smoke,44 BullDog
Playboi Carti,Slay3r
Twenty One Pilots,Chlorine
Anuel AA,FÃºtbol & Rumba
Ariana Grande,successful
Bryson Tiller,Outta Time
Russ,HANDSOMER
Lorde,Homemade Dynamite
Eric Church,Talladega
Nicki Minaj,Bussin
24kGoldn,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior"
Ariana Grande,raindrops (an angel cried)
Lil Uzi Vert,Got The Guap
Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
Justin Bieber,Loved By You
Bruno Mars,After Last Night
YG,FTP
BTS,Mikrokosmos
SZA,The Other Side (from Trolls World Tour)
DaBaby,POP STAR
Gucci Mane,P**** Print
Billie Eilish,The 30th
BeyoncÃ©,MOVE
BeyoncÃ©,MOOD 4 EVA
Gorillaz,New Gold
Ariana Grande,better off
Russell Dickerson,She Likes It
Lil Wayne,Scared of the Dark
Summer Walker,Playing Games
XXXTENTACION,One Minute
Fleetwood Mac,The Chain
Offset,Nightmare
Lil Baby,Never Hating
Jake Owen,Real Life
Anna Kendrick,Cups (Pitch Perfectâs âWhen Iâm Goneâ)
Halsey,So Good
Lil Baby,Heyy
Drake,From Time
BTS,Make It Right
Future,Thatâs It
Julia Michaels,What A Time
Kid Cudi,love.
Migos,Brown Paper Bag
DLOW,Bet You Can't Do It Like Me
Lana Del Rey,Norman fucking Rockwell
XXXTENTACION,STARING AT THE SKY
Kid Cudi,Baptized In Fire
AJR,I'm Ready
Jess Glynne,I'll Be There
Gunna,25k jacket
Bad Bunny,Una Vez
Luke Combs,Lovin' On You
Lil Uzi Vert,TwoÂ®
Billie Eilish,bitches broken hearts
Tory Lanez,B.I.D
Kid Cudi,Dive
The Weeknd,Dawn FM
Mustard,Want Her
Daya,Insomnia
Kendrick Lamar,The Blacker The Berry
Future,Ain't No Time
ROSALÃA,Con Altura
Jimin,Like Crazy
Khalid,Hundred
Juice WRLD,Ring Ring
$uicideboy$,"My Swisher Sweet, But My Sig Sauer"
Galantis,Peanut Butter Jelly
Tech N9ne,Face Off
DaBaby,GOSPEL
22 Savage,The Race
Selena Gomez,My Mind & Me
6ix9ine,KANGA
Olly Murs,Wrapped Up
Sheff G,On Go
John Mayer,Last Train Home
Stan Kenton,Lonesome Train
21 Savage,gun smoke
Ariana Grande,Best Mistake
Flo Rida,Dirty Mind
Kid Cudi,Mr. Solo Dolo III
Lil Nas X,Late To Da Party
Halsey,"I am not a woman, I'm a god"
Billie Eilish,Halley's Comet
Young Dolph,1 Scale
Tory Lanez,Stupid Again
A$AP Ferg,Move Ya Hips
NOTD,So Close
Morgan Wallen,Outlaw
Joji,Ew
21 Savage,Mad Stalkers
Key Glock,Ambition For Cash
Fetty Wap,Different Now
AC/DC,Highway to Hell
DaBaby,OFF THE RIP
Junior H,El Azul
Ed Sheeran,BLOW
Kylie Minogue,Santa Baby
Lizzo,Tempo
Gunna,mop
A$AP Rocky,A$AP Forever REMIX
The Game,All Eyez
$uicideboy$,Big Shot Cream Soda
Lorde,Ribs
Phillipa Soo,Helpless
Lil Nas X,AM I DREAMING
Shawn Mendes,Lost In Japan
Trevor Daniel,Past Life
Jax Jones,Breathe
Khalid,Intro
DJ Khaled,Gold Slugs
Future,Sorry
Zedd,365
21 Savage,out for the night
Justin Bieber,Somebody
Ariana Grande,get well soon
Pusha T,Scrape It Off
Young Thug,Surf
Mac Miller,What's the Use?
Anuel AA,Mas Rica Que Ayer
Drake,Not You Too
Luke Combs,Doin' This
Wale,On Chill
Meek Mill,Jump Out the Face
Big Sean,Pull Up N Wreck (& Metro Boomin)
BeyoncÃ©,PURE/HONEY
Trippie Redd,Toxic Waste
Young Thug,What's the Move
The Weeknd,Reminder
Trippie Redd,Negative Energy
Trippie Redd,Betrayal
Kanye West,No More Parties In LA
Big Sean,Play No Games
Pop Smoke,Tell The Vision
YoungBoy Never Broke Again,My Window
Swae Lee,Someone Said
347aidan,Dancing in My Room
Mumford & Sons,Snake Eyes
Morgan Wallen,Wonderinâ Bout The Wind
Mariah Carey,All I Want For Christmas Is You
2 Chainz,Rule The World
Alesso,Heroes (we could be)
Lizzo,Special
Taylor Swift,Fearless (Taylorâs Version)
Pentatonix,Winter Wonderland / Don't Worry Be Happy
Chance the Rapper,65th & Ingleside
YNW Melly,Bang Bang
Dennis Lloyd,Never Go Back
Sam Smith,Fire On Fire
Rihanna,Where Have You Been
Coldplay,Higher Power
Kid Cudi,Heaven On Earth
Rihanna,Pour It Up
Logic,Everybody Dies
Elle King,Drunk (And I Don't Wanna Go Home)
Juice WRLD,Who Shot Cupid?
Jason Derulo,Try Me
Why Don't We,What Am I
Billie Eilish,COPYCAT
5 Seconds of Summer,No Shame
Rod Wave,Alone
BeyoncÃ©,BROWN SKIN GIRL
Offset,How Did I Get Here
Roddy Ricch,Every Season
XXXTENTACION,difference (interlude)
Lil Pump,Be Like Me
Cartel De Santa,Shorty Party
Khalid,Paradise
XXXTENTACION,Floor 555
Jon Pardi,Night Shift
Chris Jedi,Ahora Dice
Josh Turner,Would You Go With Me
Khalid,Twenty One
Bas,The Jackie
CAZZETTE,Sleepless
Enrique Iglesias,Bailando
Chance the Rapper,Handsome
J.I the Prince of N.Y,Need Me
Southside,Hold That Heat
NexXthursday,Sway
Lil Tjay,Not In The Mood
Brent Faiyaz,Wasting Time ( feat. Drake )
Meghan Trainor,I'll Be Home
G-Eazy,I Wanna Rock
Juice WRLD,734
BTS,Dionysus
TWICE,MOONLIGHT SUNRISE
Drake,Deep Pockets
Gene Autry,Rudolph the Red-Nosed Reindeer
Drake,"Two Birds, One Stone"
Demi Lovato,Anyone
Rick Ross,Trap Trap Trap
Kid Cudi,Sad People
Jason Derulo,If I'm Lucky
Nick Jonas,Jealous
The Chainsmokers,Beach House
Gunna,poochie gown
G.R.L.,Ugly Heart
Avicii,You Make Me
Drake,When To Say When
Drake,Overdrive
Taylor Swift,The Lucky One (Taylor's Version)
Logic,Wrist
DJ Snake,Enzo
Pusha T,What Would Meek Do?
Juice WRLD,Life's A Mess II
Lil Tecca,Dolly
Big Sean,Single Again
XXXTENTACION,SMASH!
Chucho Flash,Tu Sabes Que Te Quiero
DJ Khaled,Juice WRLD DID
Claire Rosinkranz,Backyard Boy
Kid Cudi,Damaged
Gunna,how you did that
Eminem,Premonition
Lil Tjay,Brothers
Cordae,Gifted
Camila Cabello,Cry for Me
Chris Brown,Grass Ain't Greener
Lil Uzi Vert,No Sleep Leak
Logic,Killing Spree
Lil Wayne,Mess
Taylor Swift,Sad Beautiful Tragic (Taylor's Version)
One Direction,Never Enough
DMX,X Gon' Give It To Ya
Ed Sheeran,Merry Christmas
Morgan Wallen,Only Thing Thatâs Gone
Ingrid Michaelson,Girls Chase Boys
Coldplay,Yellow
A Boogie Wit da Hoodie,Bleed
Billie Eilish,Male Fantasy
Young Thug,High
Avicii,For A Better Day
Trippie Redd,Missing My Idols
BeyoncÃ©,BLACK PARADE
A$AP Rocky,Canal St.
Juice WRLD,Juice WRLD Speaks From Heaven
Taylor Swift,You Belong With Me (Taylorâs Version)
Machine Gun Kelly,drunk face
Lil Uzi Vert,Urgency
Kelsea Ballerini,Mountain With A View
Juice WRLD,"The Man, The Myth, The Legend"
Lady Gaga,Do What U Want
Andrew Gold,"Spooky, Scary Skeletons"
Marshmello,Tongue Tied
Taylor Swift,Come Back...Be Here (Taylor's Version)
Kygo,Not Ok
Taylor Swift,The Moment I Knew (Taylor's Version)
Future,Extra Luv
Taylor Swift,Starlight (Taylor's Version)
J. Cole,Album of the Year
Bad Bunny,P FKN R
Halsey,Die 4 Me
Harry Styles,Carolina
Yo Gotti,Put a Date On It
The Weeknd,As You Are
Tame Impala,Borderline
Kesha,Learn To Let Go
Big Sean,All Your Fault
Anderson .Paak,Tints
Young Thug,Anybody
Lana Del Rey,Fuck it I love you
Kanii,I Know
Florida Georgia Line,Sun Daze
Huncho Jack,Huncho Jack
Trippie Redd,Can't Love
Lil Pump,Multi Millionaire
21 Savage,a&t
Cordae,RNP
Lil Wayne,I Love You Dwayne
Lil Wayne,Used 2
Polo G,Donât Play
Ski Mask The Slump God,OOGA BOOGA!
Michelle Williams,Tightrope
Eminem,Killer
Tate McRae,chaotic
Metro Boomin,All The Money
Childish Gambino,V. 3005
The Chainsmokers,High
Logic,Take It Back
Tame Impala,Lost In Yesterday
Machine Gun Kelly,papercuts
Lil Uzi Vert,Lotus
Pop Smoke,Enjoy Yourself
5 Seconds of Summer,Old Me
Rich The Kid,Fall Threw
Doja Cat,Been Like This
Gwen Stefani,Baby Don't Lie
Ty Dolla $ign,Love U Better
DeJ Loaf,Try Me
One Direction,Best Song Ever
KAROL G,CAIRO
Big Sean,I Know
Halsey,Ghost
Grupo Marca Registrada,Di Que Si
Logic,44 Bars
Rae Sremmurd,By Chance
Lil Wayne,Demon
Kanye West,Ye vs. the People (starring TI as the People)
Future,Realer N Realer
Doja Cat,Options
2Pac,California Love
Lil Wayne,I Don't Sleep (ft. Takeoff)
Sia,Santa's Coming For Us
Drake,From Florida With Love
Lilly Wood and The Prick,Prayer In C (Robin Schulz Remix) [Radio Edit]
Meek Mill,What's Free
The Notorious B.I.G.,Big Poppa
Lil Uzi Vert,Feelings Mutual
YoungBoy Never Broke Again,No Smoke
Chris Brown,Liquor
Migos,Danger
Mac Miller,That's On Me
Bebe Rexha,I Can't Stop Drinking About You
Meek Mill,Dangerous
YoungBoy Never Broke Again,Knocked Off
Keith Urban,Wasted Time
Demi Lovato,29
Kanye West,I Love Kanye
6ix9ine,FEEFA
Zedd,Stay The Night
The Kid LAROI,WRONG
Pusha T,The Games We Play
Meek Mill,Millidelphia
"Tyler, The Creator",MANIFESTO
Prince Royce,Stuck On a Feeling
Kygo,Stranger Things
Linkin Park,Numb
Steve Lacy,Mercury
Eminem,Untouchable
Travis Scott,SICKO MODE
Carnage,i Shyne
Big Sean,Voices In My Head/Stick To The Plan
Lil Durk,Pissed Me Off
Lauv,Drugs & The Internet
Mac Miller,2009
Kid Cudi,Beautiful Trip
Hilary Duff,Sparks
Panic! At The Disco,Hallelujah
Kanye West,Freestyle 4
DJ Khaled,Hold You Down
Lil Wayne,Start This Shit Off Right
SZA,Forgiveless
Logic,Confess
Rockwell,Somebody's Watching Me
Libianca,People
BeyoncÃ©,Before I Let Go
Justin Timberlake,Supplies
Kid Cudi,The Void
Daft Punk,Instant Crush
Lil Durk,Petty Too
Big Sean,Deep Reverence
Lil Tjay,20/20
Matthew Wilder,Break My Stride
Pop Smoke,Demeanor
Drake,6PM In New York
Halsey,Without Me
Tee Grizzley,Satish
Panic! At The Disco,Don't Threaten Me With A Good Time
Gucci Mane,Guwop Home
Future,All Bad
Pusha T,Neck & Wrist
Kehlani,CRZY
Migos,Racks 2 Skinny
Harry Styles,Fine Line
Liam Payne,Naughty List
Bad Bunny,BYE ME FUI
BeyoncÃ©,Sorry
Rich The Kid,End Of Discussion
Rich The Kid,Leave Me
One Direction,Temporary Fix
Mozzy,Seasons
Post Malone,Love/Hate Letter To Alcohol
Chance the Rapper,Do You Remember
DaBaby,ROOF
Mac Miller,Once A Day
The Weeknd,Until I Bleed Out
Juice WRLD,Doom
Twenty One Pilots,Choker
benny blanco,You
John Mayer,I Guess I Just Feel Like
Drake,Liability
Taylor Swift,The Way I Loved You (Taylorâs Version)
Metro Boomin,Lock On Me
OneRepublic,Wanted
The Kid LAROI,STILL CHOSE YOU
blackbear,@ my worst
Future,Xanny Family
Future,Super Trapper
N.W.A.,Straight Outta Compton
Desiigner,Up
Taylor Swift,Fifteen (Taylorâs Version)
Big Sean,So Good (& Metro Boomin)
Mr. Probz,Nothing Really Matters
Taylor Swift,Girl At Home (Taylor's Version)
Sam Hunt,Kinfolks
Kanye West,Facts (Charlie Heat Version)
Lil Uzi Vert,Moon Relate
Lil Uzi Vert,Wassup
NAV,A$AP Ferg
Jonas Brothers,X
Future,FOR A NUT
Drake,Down Hill
21 Savage,Disrespectful
XXXTENTACION,Ayala (Outro)
Kodak Black,Testimony
Lorde,Stoned at the Nail Salon
Halsey,Finally // beautiful stranger
Dr. Dre,Forgot About Dre
ZAYN,A Whole New World (End Title)
Daft Punk,Lose Yourself to Dance
Years & Years,King
The Kid LAROI,Diva
Kanye West,Donda Chant
One Direction,I Want to Write You a Song
Hotel Ugly,Shut up My Moms Calling
Lil Peep,Cry Alone
Alessia Cara,Growing Pains
Juice WRLD,Not Enough
Lil Nas X,ONE OF ME
Morgan Wallen,Me To Me
Roddy Ricch,thailand
Juice WRLD,Face 2 Face
Zacari,Redemption Interlude
Drake,Losses
Lil Wayne,Perfect Strangers
Billie Eilish,WHEN I WAS OLDER
Harry Styles,Canyon Moon
YG,HANDGUN
Mac Miller,Hands
DJ Khaled,Higher
Coldplay,Orphans
DaBaby,Bestie
Taylor Swift,I Did Something Bad
Luke Bryan,Games
Drake,War
Mac Miller,Wings
Morgan Wallen,Last Drive Down Main
Nigo,Heavy
ZAYN,Vibez
The Chainsmokers,Don't Say
Ozuna,Amor Genuino
BeyoncÃ©,Hold Up
Pop Smoke,Shake The Room
FIFTY FIFTY,Cupid
Internet Money,JETSKI
Future,MASSAGING ME
Drake,Wu-Tang Forever
Future,100 Shooters
Lil Tecca,Out Of Luck
Amy Grant,White Christmas
Megan Thee Stallion,Her
The Weeknd,A Tale By Quincy
Taylor Swift,All Too Well
Juice WRLD,Go Hard
Taylor Swift,Hey Stephen (Taylorâs Version)
Kat Dahlia,I Think I'm In Love
Morgan Wallen,Money On Me
Joji,Feeling Like The End
The Neighbourhood,#icanteven
BTS,IDOL
Imagine Dragons,Warriors
French Montana,A Lie
Lil Mosey,Back At It
Hunter Hayes,I Want Crazy
Lil Baby,All In
"Tyler, The Creator",WILSHIRE
HVME,Goosebumps
Sam Smith,Say It First
Leona Lewis,One More Sleep
Kodak Black,Conscience
Jelly Roll,Son Of A Sinner
Chris Brown,Wrist
One Direction,Wolves
Morgan Wallen,Silverado For Sale
Drake,Tie That Binds
Big Sean,Light
Lil Uzi Vert,Pretty Mami
21 Savage,Famous
Shawn Mendes,Where Were You In The Morning?
R. City,Make Up
Roddy Ricch,Big Stepper
Adele,All I Ask
Kid Cudi,Rockstar Knights
Rich The Kid,Tic Toc
Lil Uzi Vert,Trap This Way (This Way)
Ylvis,The Fox (What Does The Fox Say?)
Bad Bunny,PA' ROMPERLA
Bryson Tiller,Self-Made
Big Sean,Beware
YoungBoy Never Broke Again,Carter Son
Roddy Ricch,25 million
Kid Cudi,Elsie's Baby Boy (flashback)
Creedence Clearwater Revival,Fortunate Son
Lil Wayne,Dope New Gospel
j-hope,MORE
G-Eazy,The Beautiful & Damned
Lana Del Rey,Mariners Apartment Complex
Harry Styles,Treat People With Kindness
Tory Lanez,Who Needs Love
Joyner Lucas,Will
Central Cee,LET GO
BeyoncÃ©,Formation
The Chainsmokers,Bloodstream
Lorde,Glory And Gore
Kid Cudi,Sept. 16
Kid Cudi,Lovinâ Me
J. Cole,Love Yourz
Melanie Martinez,Show & Tell
Big Sean,Bigger Than Me
Gorillaz,Saturnz Barz
The Chainsmokers,My Type
Kanye West,Tell The Vision
Panic! At The Disco,LA Devotee
Travis Scott,3500
Sam Smith,One Last Song
Dylan Scott,My Girl
Britney Spears,Toxic
Lil Baby,Time
DJ A1,Bounce Out With That FT. YBN Nahmir
Camila Cabello,Living Proof
K/DA,POP/STARS
Taylor Swift,State Of Grace (Acoustic Version) (Taylor's Version)
"Tyler, The Creator",RISE!
Cordae,Broke As Fuck
Logic,Super Mario World
Panic! At The Disco,Into the Unknown
Galantis,Bones
Kanye West,Frank's Track
Andy Williams,Sleigh Ride
Future,Stripes Like Burberry
ayokay,Kings of Summer
H.E.R.,Slide
Harry Styles,Kiwi
Future,GOLD STACKS
Quality Control,"Pink Toes (Offset, DaBaby feat. Gunna)"
Brent Faiyaz,LOOSE CHANGE
Meghan Trainor,No Good For You
Chance the Rapper,All Day Long
Eminem,Stepdad
Anuel AA,Narcos
Lil Uzi Vert,I Can Show You
Michael BublÃ©,Jingle Bells
Eminem,Yah Yah
iann dior,Sick and Tired
21 Savage,Bad Business
Kanye West,30 Hours
Drake,Pound Cake / Paris Morton Music 2
21 Savage,Brand New Draco
The Weeknd,Every Angel is Terrifying
2 Chainz,Gotta Lotta
DJ Khaled,GOD DID
mxmy,PAINTING PICTURES
Only The Family,Crazy Story
Rihanna,Woo
Taylor Swift,White Horse (Taylorâs Version)
Lil Baby,Voice of the Heroes
Joji,Before The Day Is Over
Migos,Culture
Nat King Cole,O Come All Ye Faithful
alt-J,Breezeblocks
Tame Impala,Breathe Deeper
Migos,Emoji A Chain
Marshmello,Alone
Pitbull,Feel This Moment
Future,Zoom
Gunna,Outstanding
"Tyler, The Creator",WHARF TALK
Gucci Mane,I'm Not Goin'
21 Savage,My Dawg
Michael BublÃ©,Have Yourself a Merry Little Christmas
Wilbur Soot,Your New Boyfriend
Young Thug,Floyd Mayweather
Nipsey Hussle,Double Up
Eric Church,Hell Of A View
Taylor Swift,Forever & Always (Taylorâs Version)
Lorde,Buzzcut Season
Family of the Year,Hero
21 Savage,Snitches & Rats
Adele,Chasing Pavements
TOOL,Fear Inoculum
Justin Bieber,Habitual
Meek Mill,Lord Knows
Lady Gaga,Do What U Want
Rihanna,Same Olâ Mistakes
Bruno Mars,Blast Off
One Direction,Walking in the Wind
Lil Uzi Vert,Come This Way
Justin Bieber,All Around Me
Bruce Springsteen,Born in the U.S.A.
Migos,Avalanche
Bryson Tiller,Somethin Tells Me
Lil Baby,Real Spill
Taylor Swift,22
Enrique Iglesias,DUELE EL CORAZON
Isaiah Rashad,Lay Wit Ya
Bing Crosby,The Little Drummer Boy
Andy Williams,The First NoÃ«l
Harry Styles,Meet Me in the Hallway
Future,Incredible
Charli XCX,1999
Kid Cudi,The Pale Moonlight
Bruno Mars,Put On A Smile
Pop Smoke,Creature
Kanye West,Life Of The Party
Tate McRae,working
Luke Combs,Refrigerator Door
Imagine Dragons,Follow You
Dr. Dre,Gospel
Future,High Demand
DMX,Ruff Ryders' Anthem
Chris Lane,I Don't Know About You
Kendrick Lamar,untitled 05 | 09.21.2014.
Logic,Icy
Avicii,Levels
Kane Brown,Like I Love Country Music
"Tyler, The Creator",Boredom
Lil Nas X,DONT WANT IT
Gorillaz,Ascension
DJ Khaled,BIG TIME
Harry Styles,Two Ghosts
Migos,Higher We Go
Lil Uzi Vert,FOR FUN
Harry Styles,Woman
Omarion,I'm Up
Britney Spears,Pretty Girls
Tory Lanez,Do The Most
Eminem,Alfred
Morgan Wallen,Had It
Years & Years,If You're Over Me
Morgan Wallen,Outlook
LISA,LALISA
Blake Shelton,Neon Light
Big Sean,Lithuania
Bad Bunny,TE DESEO LO MEJOR
88rising,Midsummer Madness
Eminem,Little Engine
CAZZETTE,Blind Heart
SiM,The Rumbling (TV Size)
Bad Bunny,BOOKER T
Panic! At The Disco,(Fuck A) Silver Lining
Wiz Khalifa,You And Your Friends
Kanye West,Ok Ok pt 2
Taylor Swift,Ronan (Taylor's Version)
Eminem,Gnat
Avril Lavigne,Head Above Water
Lin-Manuel Miranda,My Shot
Kendrick Lamar,untitled 04 | 08.14.2014.
Future,CHICKENS
RenÃ©e Elise Goldsberry,The Schuyler Sisters
One Direction,Where Do Broken Hearts Go
Eminem,Farewell
Anuel AA,Jangueo
Jack Harlow,I'd Do Anything To Make You Smile
Van Morrison,Brown Eyed Girl
Justin Bieber,Second Emotion
Eminem,Never Love Again
Sam Hunt,Ex To See
Diplo,Get It Right
Future,Use Me
Sam Smith,No Peace
Mac Miller,Perfecto
Migos,Auto Pilot
Metallica,Enter Sandman
Sofia Karlberg,Crazy in Love
J. Cole,03' Adolescence
Lil Baby,Business Is Business (Lil Baby & Gunna)
Jason Derulo,The Other Side
J. Cole,January 28th
Logic,Fade Away
Chris Rea,Driving Home for Christmas
Anitta,Downtown
Fall Out Boy,Fourth Of July
Blue Ãyster Cult,(Don't Fear) The Reaper
Gorillaz,Andromeda
Daft Punk,Give Life Back to Music
Bad Bunny,MALDITA POBREZA
ZAYN,BeFoUr
Lauv,Fake
$uicideboy$,Materialism as a Means to an End
Red Hot Chili Peppers,Dark Necessities
Future,Astronauts
Redfoo,New Thang
Taylor Swift,Breathe
Drake,Own It
Kenny Chesney,Get Along
Joji,NIGHT RIDER
Logic,Grandpa's Space Ship
Justin Bieber,Running Over
JAY-Z,No Church In The Wild
Kayla Nicole,Bundles
Melanie Martinez,THE CONTORTIONIST
Drake,Too Much
Lean Trap,La Modelo
Guns N' Roses,Sweet Child O' Mine
Shoreline Mafia,Bands
Lil Uzi Vert,No Auto
Juice WRLD,From My Window
G-Eazy,One Of Them
G-Eazy,The Plan
Tom Petty,Free Fallin'
BTS,Run BTS
John Mayer,Love on the Weekend
Machine Gun Kelly,Candy
Gerry Rafferty,Right Down the Line
Post Malone,When Iâm Alone
SofÃ­a Reyes,"1, 2, 3"
Leslie Odom Jr.,Wait for It
Coi Leray,BIG PURR (Prrdd)
Cheat Codes,Only You
Kanye West,Junya pt 2
Luke Combs,Moon Over Mexico
Kendrick Lamar,untitled 06 | 06.30.2014.
Chris Stapleton,You Should Probably Leave
Bad Bunny,HOY COBRÃ
Sada Baby,Whole Lotta Choppas
Joji,1AM FREESTYLE
iLoveMemphis,"""Hit the Quan"" #HTQ"
DaBaby,BLAME IT ON BABY
Quavo,LAMB TALK
OneRepublic,Run
Migos,What The Price
Gorillaz,Humility
Shaggy,I Need Your Love
Sam Hunt,Breaking Up Was Easy In The 90's
Kid Cudi,4 Da Kidz
Yeat,Split
YoungBoy Never Broke Again,Red Eye
Sia,No New Friends
JhenÃ© Aiko,Happiness Over Everything (H.O.E.)
Burl Ives,Rudolph The Red Nosed Reindeer
Tory Lanez,DrIP DrIp Drip
Ariana Grande,blazed
Pop Smoke,Yea Yea
Tainy,Adicto
Taylor Swift,Thatâs When
Bad Bunny,EL MUNDO ES MÃO
DaBaby,iPHONE
Isaiah Rashad,Headshots (4r Da Locals)
Gunna,alotta cake
Rich The Kid,Lost It
DaBaby,XXL
Young Stoner Life,Proud of You
Rod Wave,Fight The Feeling
Billie Eilish,GOLDWING
Luke Bryan,Most People Are Good
Future,Over Your Head
Childish Gambino,IV. Sweatpants
Kendrick Lamar,untitled 08 | 09.06.2014.
Post Malone,Only Wanna Be With You
G Herbo,Cry No More
Mac Miller,100 Grandkids
Kid Cudi,Lord I Know
Lil Uzi Vert,Sasuke
DaBaby,REALLY
Halsey,Eyes Closed
Nicki Minaj,Get On Your Knees
Anuel AA,Ella Quiere Beber
Queen,Killer Queen
Migos,CC
BeyoncÃ©,AMERICA HAS A PROBLEM
Joji,Dissolve
Imagine Dragons,Shots
Juice WRLD,Relocate
Ty Dolla $ign,Or Nah
Kane Brown,Lose It
Bhad Bhabie,Gucci Flip Flops
Michael Jackson,Love Never Felt so Good
Lil Uzi Vert,Money Spread
Logic,Hit My Line
Tory Lanez,Shooters
BeyoncÃ©,ALL UP IN YOUR MIND
Logic,ICONIC (ft. Jaden Smith)
Melanie Martinez,EVIL
Morgan Wallen,Up Down
Daft Punk,Doin' it Right
Pardison Fontaine,Backin' It Up
Jack Harlow,Young Harleezy
ZAYN,sHe
Post Malone,Euthanasia
21 Savage,No Opp Left Behind
My Chemical Romance,The Foundations of Decay
Ava Max,So Am I
Taylor Swift,Tell Me Why (Taylorâs Version)
Pharrell Williams,Freedom
Bruno Mars,777
21 Savage,FaceTime
Joey Bada$$,TEMPTATION
Avicii,Broken Arrows
Lil Pump,Racks on Racks
Sam Hunt,Downtown's Dead
Miguel,Coffee
Justin Bieber,Available
Queen,We Will Rock You
Taylor Swift,Youâre Not Sorry (Taylorâs Version)
Chance the Rapper,Summer Friends
Rita Ora,Body on Me
Yeat,No morÃ« talk
Kendrick Lamar,Wesley's Theory
Meek Mill,Dreams and Nightmares
Adele,Make You Feel My Love
Jake Owen,Made For You
Juice WRLD,Make It Back
Maroon 5,Feelings
Iggy Azalea,Work
Kesha,Woman
Lil Pump,Molly
Miley Cyrus,Thousand Miles
Brent Faiyaz,"GRAVITY (FEAT. TYLER, THE CREATOR)"
Tory Lanez,Real Thing
Logic,COMMANDO
JhenÃ© Aiko,None Of Your Concern
DaBaby,LIGHTSKIN SH*T
Jeremy Zucker,you were good to me (bonus track)
Maroon 5,Love Somebody
Coldplay,Let Somebody Go
Trouble,Bring It Back
Logic,GP4
21 Savage,Run Up the Racks
HRVY,Personal
BTS,Jamais Vu
Meek Mill,Intro
will.i.am,#thatPOWER
Fall Out Boy,Immortals
Eminem,I Will
Lil Nas X,VOID
Polo G,My All
Juice WRLD,The Light
Luke Bryan,Roller Coaster
Halsey,Still Learning
Logic,No Pressure
Russ,Are You Entertained
Khalid,Motion
BTS,Filter
Lost Frequencies,Are You With Me
Travie McCoy,Golden
KAROL G,EL MAKINON
BTS,UGH!
The Living Tombstone,My Ordinary Life
Logic,"Wu Tang Forever (ft. Ghostface Killah, Raekwon, RZA, Method Man, Inspectah Deck, Cappadonna, Jackpot Scotty Wotty, U-God, Masta Killa, GZA)"
Drake,Tuscan Leather
21 Savage,Steppin On Niggas
Internet Money,Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix]
Tyla Yaweh,Stuntin' On You
Future,Government Official
MAX,Blueberry Eyes
Ed Sheeran,Take Me Back to London
Logic,100 Miles and Running (ft. Wale & John Lindahl)
Yeat,Shmunk
Melanie Martinez,TUNNEL VISION
Drake,How Bout Now
Jonas Brothers,I Believe
"Tyler, The Creator",SAFARI
Lady Gaga,911
One Direction,Hey Angel
Juice WRLD,Big
Lady Gaga,A-YO
21 Savage,Snitches & Rats (Interlude)
Future,HOLY GHOST
Ariana Grande,borderline
K CAMP,1Hunnid
Migos,Malibu
A$AP Rocky,Fukk Sleep
Joji,MODUS
Drake,The Motion
21 Savage,RIP Luv
Jack Harlow,Movie Star
Future,You Da Baddest
Lil Yachty,the BLACK seminole.
Panic! At The Disco,Bohemian Rhapsody
Meek Mill,Pullin Up
